component,s,branch_id,reliable,x,y,c1,c2,r,jacobi_CJ,max_real,n_centre_pairs,omega1,omega2,ratio
Case1-arc,0.0,1,True,-1.748492288276684,1.7925312904477122,-1.2769405650257788,1.313305495476774,2.504075420069686,10.459966702006676,2.2620289564881815,1,1.91495122226252,,
Case1-arc,0.0,2,True,-1.2322314993991836,0.4666462670656157,-1.2769405650257788,1.313305495476774,1.3176316657844234,7.290006105355287,3.00872440705203,1,2.2197364530162473,,
Case1-arc,0.0,3,True,-0.4467900629334512,1.1462248929901953,-1.2769405650257788,1.313305495476774,1.2302247216043343,7.117663975794118,3.1158630414686046,1,2.3136461453760186,,
Case1-arc,0.0,4,True,-0.0330994850175849,-0.0678120183468752,-1.2769405650257788,1.313305495476774,0.07545890100383297,3.63447200725499,7.07692695448591,1,5.024595283537959,,
Case1-arc,0.0,5,True,0.4517376594728745,-0.4682234163989427,-1.2769405650257788,1.313305495476774,0.6506151555645845,2.8352858160907504,0.424449761821447,0,,,
Case1-arc,0.017388839728143,1,True,-1.7387724081129234,1.780755400531448,-1.263457542996337,1.298533626368343,2.488859032516051,10.423182840800102,2.234271132991495,1,1.8977970525727508,,
Case1-arc,0.017388839728143,2,True,-1.2184646243567367,0.4743415308346006,-1.263457542996337,1.298533626368343,1.3075381174877143,7.460236324510973,3.0980789508047972,1,2.279758257312519,,
Case1-arc,0.017388839728143,3,True,-0.4539988459986782,1.135194993719694,-1.263457542996337,1.298533626368343,1.2226130319665285,7.2913182523637765,3.196342168677539,1,2.36519788395527,,
Case1-arc,0.017388839728143,4,True,-0.0804495577766955,-0.0214816787517125,-1.263457542996337,1.298533626368343,0.0832682044267657,4.088635152264582,4.806552712785924,1,3.379796370643446,,
Case1-arc,0.017388839728143,5,True,0.4799624810792439,-0.4878380220619108,-1.263457542996337,1.298533626368343,0.6843609566690818,2.9415799371879396,0.4328709607950654,0,,,
Case1-arc,0.0347776794571169,1,True,-1.729239766202903,1.7691037025062408,-1.2499729567811149,1.283763185122131,2.4738629871597095,10.390832247976867,2.2058337156164747,1,1.880235073409912,,
Case1-arc,0.0347776794571169,2,True,-1.2046658084450472,0.4813265340034728,-1.2499729567811149,1.283763185122131,1.297264407271068,7.639807937397145,3.191088024243318,1,2.341983921244258,,
Case1-arc,0.0347776794571169,3,True,-0.4607126059866899,1.1240154194941971,-1.2499729567811149,1.283763185122131,1.2147702534124563,7.474192950323873,3.2804474505493397,1,2.4189231220563605,,
