component,s,c1,c2,rho0,rho1,rho2,psi_residual
Case1-arc,0.0,-1.2769405650257788,1.313305495476774,0.002497675071049081,0.5976457929539251,0.5865268995082141,-5.684341886080802e-14
Case1-arc,0.008694419863975428,-1.270199243041065,1.3059193883855884,0.009536809024265359,0.6073694588971001,0.5959592601567473,-5.684341886080802e-14
Case1-arc,0.01738883972814304,-1.263457542996337,1.298533626368343,0.01696505364160739,0.6172803297032238,0.6055681260644236,-5.684341886080802e-14
Case1-arc,0.02608325959251819,-1.2567154520412667,1.2911482211914551,0.024801474821430327,0.6273819884073693,0.6153565972619824,-6.039613253960852e-14
Case1-arc,0.03477767945711699,-1.2499729567811149,1.283763185122131,0.033066067596138934,0.6376780549943483,0.6253277858053157,-7.460698725481052e-14
Case1-arc,0.04347209932195701,-1.2432300432467707,1.2763785309560718,0.041779801620156584,0.6481721837396252,0.6354848116997109,-7.815970093361102e-14
Case1-arc,0.052166519187057565,-1.2364866968627055,1.2689942720471192,0.050964668868616454,0.6588680602388785,0.6458307984252789,-7.105427357601002e-14
Case1-arc,0.060860939052439875,-1.229742902412671,1.261610422339,0.06064373365381165,0.6697693981029897,0.6563688680344333,-8.526512829121202e-14
Case1-arc,0.06955535891812703,-1.222998644002947,1.2542269963993502,0.07084118507218465,0.68087993529387,0.6671021357904479,-8.171241461241152e-14
Case1-arc,0.07824977878414498,-1.2162539050229246,1.246844009456222,0.08158239200226806,0.6922034300750779,0.6780337043141583,-8.704148513061227e-14
Case1-arc,0.08694419865052123,-1.2095086681028009,1.239461477437282,0.09289396077851153,0.7037436565496696,0.6891666572038344,0.0
Case1-arc,0.0956386185172863,-1.2027629150681098,1.2320794170119553,0.10480379567842485,0.7155043997562067,0.7005040520910765,1.7763568394002505e-15
Case1-arc,0.10433303838447339,-1.1960166268908403,1.224697845636756,0.11734116236095243,0.7274894502921793,0.7120489130933605,-1.7763568394002505e-15
Case1-arc,0.11302745825211966,-1.1892697836367891,1.2173167816041282,0.13053675441504356,0.7397025984325437,0.7238042226214192,3.552713678800501e-15
Case1-arc,0.12172187812026575,-1.182522364408833,1.2099362440950985,0.14442276317820307,0.7521476277093218,0.735772912497202,5.329070518200751e-15
Case1-arc,0.13041629798895643,-1.1757743472857245,1.2025562532361103,0.15903295100231638,0.7648283079165306,0.7479578543355361,8.881784197001252e-15
Case1-arc,0.13911071785824117,-1.1690257092559928,1.1951768301604329,0.17440272815731106,0.7777483875029824,0.7603618491398568,-5.329070518200751e-15
Case1-arc,0.14780513772817513,-1.1622764261464773,1.1877979970745904,0.19056923357821284,0.790911585313745,0.7729876160595517,1.7763568394002505e-15
Case1-arc,0.15649955759881848,-1.15552647254497,1.1804197773303071,0.20757141968146928,0.8043215816393218,0.7858377802534473,0.0
Case1-arc,0.16519397747023898,-1.1487758217163901,1.1730421955025059,0.22545014149458692,0.8179820085299173,0.7989148598009029,-3.552713678800501e-15
Case1-arc,0.17388839734251152,-1.1420244455118371,1.1656652774739857,0.24424825037093925,0.8318964393304511,0.8122212515986936,3.552713678800501e-15
Case1-arc,0.18258281721571923,-1.1352723142698034,1.158289050527452,0.26401069258778426,0.8460683773904308,0.8257592161785233,0.0
Case1-arc,0.19127723708995495,-1.1285193967087346,1.1509135434456657,0.2847846131587783,0.8605012439012486,0.839530861376508,5.329070518200751e-15
Case1-arc,0.19997165696532274,-1.121765659810035,1.1435387866205728,0.30661946523229494,0.8751983648121197,0.8535381247823043,-3.552713678800501e-15
Case1-arc,0.2086660768419384,-1.1150110686905037,1.1361648121723689,0.3295671254895377,0.8901629567746647,0.8677827548918196,-2.6645352591003757e-15
