component,s,c1,c2,N_eq
Case1-arc,0.0,-1.2769405650257788,1.313305495476774,5
Case1-arc,0.01738883972814304,-1.263457542996337,1.298533626368343,5
Case1-arc,0.03477767945711699,-1.2499729567811149,1.283763185122131,5
Case1-arc,0.052166519187057565,-1.2364866968627055,1.2689942720471192,5
Case1-arc,0.06955535891812703,-1.222998644002947,1.2542269963993502,5
Case1-arc,0.08694419865052123,-1.2095086681028009,1.239461477437282,5
Case1-arc,0.10433303838447339,-1.1960166268908403,1.224697845636756,5
Case1-arc,0.12172187812026575,-1.182522364408833,1.2099362440950985,5
Case1-arc,0.13911071785824117,-1.1690257092559928,1.1951768301604329,5
Case1-arc,0.15649955759881848,-1.15552647254497,1.1804197773303071,5
Case1-arc,0.17388839734251152,-1.1420244455118371,1.1656652774739857,5
Case1-arc,0.19127723708995495,-1.1285193967087346,1.1509135434456657,5
Case1-arc,0.2086660768419384,-1.1150110686905037,1.1361648121723689,5
Case1-arc,0.22605491659944887,-1.1014991740844704,1.1214193483214103,5
Case1-arc,0.2434437563637345,-1.087983390903935,1.106677448679677,5
Case1-arc,0.26083259613637805,-1.0744633569288524,1.0919394474125452,5
Case1-arc,0.2782214359194132,-1.0609386629285977,1.0772057224169374,7
Case1-arc,0.2956102757154697,-1.0474088444377567,1.0624767030448332,7
Case1-arc,0.3129991155279827,-1.0338733717107316,1.04775287955598,7
Case1-arc,0.3303879553614873,-1.0203316373667173,1.0330348147697253,7
Case1-arc,0.34777679522203797,-1.0067829410817921,1.018323158537207,7
Case1-arc,0.3651656351178129,-0.9932264704728214,1.003618665863467,7
Case1-arc,0.38255447506000717,-0.9796612770242181,0.988922219799201,7
Case1-arc,0.3999433150641564,-0.9660862454970035,0.9742348606312424,7
Case1-arc,0.41733215515215555,-0.952500054675045,0.9595578234864169,7
Case1-arc,0.434720995355366,-0.938901126461563,0.9448925873136869,7
Case1-arc,0.4521098357195363,-0.9252875591080233,0.9302409394644244,7
Case1-arc,0.4694986763127233,-0.9116570385276784,0.9156050619763793,7
Case1-arc,0.48688751723841156,-0.8980067188763096,0.9009876485564404,7
Case1-arc,0.5042763586577794,-0.8843330593075313,0.8863920657820972,7
Case1-arc,0.5216652008287299,-0.8706315970673056,0.8718225792985592,7
Case1-arc,0.5390540441765532,-0.8568966262043232,0.8572846777427472,7
Case1-arc,0.5564428894268889,-0.8431207331284328,0.8427855474135757,7
Case1-arc,0.5738317378668912,-0.8292941094784501,0.8283347863183893,7
Case1-arc,0.5912205918841783,-0.8154035086138177,0.8139455111575031,5
Case1-arc,0.6086094561439913,-0.8014306134394572,0.7996361344650158,5
Case1-arc,0.62599834033676,-0.7873493969645049,0.7854333366453113,5
