arc,s,R_p,M,r_max_bound,max_detected_r,detected_within_bound,bound_in_box
Case1-arc,0.0,1.8317610463861957,2.186670367533188,2.7271950099931033,2.504075420069686,True,True
Case1-arc,0.017388839728143,1.8117711063386732,2.2398135094092546,2.7193302791971674,2.488859032516051,True,True
Case1-arc,0.0347776794571169,1.7917813226393007,2.296071908395803,2.7119218463058843,2.4738629871597095,True,True
Case1-arc,0.0521665191870575,1.771791695997823,2.3556635275327737,2.7049897363519584,2.45910542846824,True,True
Case1-arc,0.069555358918127,1.7518022267738964,2.4188232561565024,2.6985547122712754,2.444606251806074,True,True
Case1-arc,0.0869441986505212,1.731812914915125,2.4858042745320157,2.6926382758851015,2.4303872783986025,True,True
Case1-arc,0.1043330383844733,1.7118237598849524,2.556879525746492,2.687262665511711,2.4164724455859012,True,True
Case1-arc,0.1217218781202657,1.6918347605785888,2.6323433033847268,2.6824508500857194,2.4028880126935865,True,True
Case1-arc,0.1391107178582411,1.6718459152247904,2.7125129648001503,2.6782265197942836,2.3896627824583314,True,True
Case1-arc,0.1564995575988184,1.6518572212708802,2.7977307815742383,2.674614073444683,2.376828337400445,True,True
Case1-arc,0.1738883973425115,1.6318686752478346,2.888365941300077,2.6716386030401216,2.3644192898003626,True,True
Case1-arc,0.1912772370899549,1.6118802726116181,2.9848167184365346,2.669325876436009,2.3524735429719055,True,True
Case1-arc,0.2086660768419384,1.5918920075561072,3.087512837156022,2.6677023194700813,2.3410325602993236,True,True
Case1-arc,0.2260549165994488,1.5719038727919679,3.1969180565165414,2.666794999678318,2.3301416369954175,True,True
Case1-arc,0.2434437563637345,1.5519158592845759,3.3135330189007095,2.666631614677956,2.319850167748919,True,True
Case1-arc,0.260832596136378,1.5319279559425871,3.437898417837054,2.667240489611839,2.310211901412525,True,True
Case1-arc,0.2782214359194132,1.5119401492468265,3.5705985630069668,2.6686505898006505,2.3012851717705454,True,True
Case1-arc,0.2956102757154697,1.4919524228069256,3.7122654511995994,2.670891557140199,2.2931330914740053,True,True
Case1-arc,0.3129991155279827,1.4719647568302594,3.863583496173815,2.6739937819699784,2.2858236948852464,True,True
Case1-arc,0.3303879553614873,1.4519771274843716,4.02529513351729,2.6779885264873484,2.2794300155442673,True,True
Case1-arc,0.3477767952220379,1.4319895061300192,4.198207606896827,2.682908121678585,2.27403008632807,True,True
Case1-arc,0.3651656351178129,1.4120018583973124,4.383201371622485,2.6887862678117895,2.269706856671078,True,True
