config,study,grid_n,n_random,seed,r_min,exclusion,count,min_prim_dist
N=11 (Case-2),grid,61,2000,20260808,0.001,0.01,11,0.33294818841117263
N=11 (Case-2),grid,81,2000,20260808,0.001,0.01,11,0.33294818841117263
N=11 (Case-2),grid,101,2000,20260808,0.001,0.01,11,0.33294818841117263
N=11 (Case-2),grid,121,2000,20260808,0.001,0.01,11,0.33294818841117263
N=11 (Case-2),random,81,1000,20260808,0.001,0.01,11,0.33294818841117263
N=11 (Case-2),random,81,2000,20260808,0.001,0.01,11,0.33294818841117263
N=11 (Case-2),random,81,4000,20260808,0.001,0.01,11,0.33294818841117263
N=11 (Case-2),seed,81,2000,20260808,0.001,0.01,11,0.33294818841117263
N=11 (Case-2),seed,81,2000,12345,0.001,0.01,11,0.33294818841117263
N=11 (Case-2),seed,81,2000,99991,0.001,0.01,11,0.33294818841117263
N=11 (Case-2),exclusion,101,4000,20260808,0.001,0.01,11,0.33294818841117263
N=11 (Case-2),exclusion,101,4000,20260808,0.0005,0.005,11,0.33294818841117263
N=11 (Case-2),exclusion,101,4000,20260808,0.0001,0.001,11,0.33294818841117263
Case 1,grid,81,2000,20260808,0.001,0.01,5,0.12770437967886225
Case 1,grid,121,2000,20260808,0.001,0.01,5,0.12770437967886225
Case 1,exclusion,81,2000,20260808,0.001,0.01,5,0.12770437967886225
Case 1,exclusion,81,2000,20260808,0.0005,0.005,5,0.12770437967886225
Case 1,exclusion,81,2000,20260808,0.0001,0.001,5,0.12770437967886225
Case 2,grid,81,2000,20260808,0.001,0.01,9,0.30579279992183245
Case 2,grid,121,2000,20260808,0.001,0.01,9,0.30579279992183245
Case 2,exclusion,81,2000,20260808,0.001,0.01,9,0.30579279992183245
Case 2,exclusion,81,2000,20260808,0.0005,0.005,9,0.30579279992183245
Case 2,exclusion,81,2000,20260808,0.0001,0.001,9,0.30579279992183245
Case 3,grid,81,2000,20260808,0.001,0.01,5,0.18506592483576095
Case 3,grid,121,2000,20260808,0.001,0.01,5,0.18506592483576095
Case 3,exclusion,81,2000,20260808,0.001,0.01,5,0.18506592483576095
Case 3,exclusion,81,2000,20260808,0.0005,0.005,5,0.18506592483576095
Case 3,exclusion,81,2000,20260808,0.0001,0.001,5,0.18506592483576095
Case 4,grid,81,2000,20260808,0.001,0.01,5,0.3283466285672959
Case 4,grid,121,2000,20260808,0.001,0.01,5,0.3283466285672959
Case 4,exclusion,81,2000,20260808,0.001,0.01,5,0.3283466285672959
Case 4,exclusion,81,2000,20260808,0.0005,0.005,5,0.3283466285672959
Case 4,exclusion,81,2000,20260808,0.0001,0.001,5,0.3283466285672959
