rank,component,branch_id,s_lo,s_hi,width_s,type,s_rep,c1,c2,x,y,omega1,omega2,ratio,resonance,jacobi_CJ,score,v1_re_0,v1_im_0,v1_re_1,v1_im_1,v1_re_2,v1_im_2,v1_re_3,v1_im_3,v2_re_0,v2_im_0,v2_re_1,v2_im_1,v2_re_2,v2_im_2,v2_re_3,v2_im_3
1,Case1-arc,2,0.0,1.0,1.0,saddle x centre,0.5042763586577794,-0.8843330593075313,0.8863920657820972,-0.841942527727642,0.4786408240612064,4.283530020268146,,,,19.85519822074751,1.0,2.4093864129489345e-17,0.22485551627368794,-0.02835898858436529,-0.01786090335708479,-0.963175354181235,0.0,0.07650771571918082,-0.12147657894557035,,,,,,,,
2,Case2-loop,5,0.0,1.0,1.0,saddle x centre,0.4999705418238708,0.512349544633668,-0.888443957037037,0.3479389102248585,-0.6387659215728101,7.435262850262255,,,,24.294202147655525,1.0,5.2668206867666826e-17,-0.11125382109218686,0.01414660254924098,-0.07204007912829034,0.8272014029164602,0.0,0.5356369240725298,0.10518370839179698,,,,,,,,
3,Case1-arc,4,0.0,1.0,1.0,saddle x centre,0.5042763586577794,-0.8843330593075313,0.8863920657820972,-0.5397553259825234,0.0306837655426501,4.939305093959653,,,,20.76815650729371,1.0,0.023740642255580858,0.014211047666868868,1.1861356511200769e-17,0.1964931766578253,-0.07019270013146871,0.11726227522686447,-0.9705397483943106,0.0,,,,,,,,
4,Case2-loop,4,0.0,1.0,1.0,saddle x centre,0.4999705418238708,0.512349544633668,-0.888443957037037,-0.0105017570721227,0.5564211283255353,6.860747158783464,,,,24.543849692831735,1.0,-1.4695805104486859e-18,-0.14355000172132093,0.013761593885903175,0.002659963050049846,0.9848602664529134,0.0,-0.0182493339380982,0.09441481615304183,,,,,,,,
5,Case2-loop,3,0.0,0.9107236808222682,0.9107236808222682,saddle x centre,0.4642513077235088,0.4870479741421596,-0.9193779156970124,-0.2567113634151144,2.140949302287693,1.1129731728647552,,,,13.095036712389721,0.9107236808222682,1.334513880332286e-15,-0.5978636039196363,0.2916778786332476,-0.06456844261333484,0.6654061521947949,0.0,0.07186294444229903,0.3246296540369066,,,,,,,,
6,Case1-arc,1,0.0,0.8348051582853696,0.8348051582853696,saddle x centre,0.4173321551521555,-0.952500054675045,0.9595578234864168,-1.6383373224475473,1.5626855158687631,1.350863558127477,,,,11.550296912487799,0.8348051582853696,0.29214216759574635,0.28674027719302236,8.20331443048552e-17,0.431782672499265,-0.3873469911074253,0.39464420799746325,-0.5832794773101476,0.0,,,,,,,,
7,Case2-loop,2,0.0,0.8214472971941729,0.8214472971941729,saddle x centre,0.4106802051017491,0.4418130708596922,-0.9587050146463588,-0.7607589039604862,-0.0179823838917796,8.37477939541042,,,,29.819346791521028,0.8214472971941729,0.009342647954636353,0.00933317127645703,-6.289059739657319e-17,0.11782615552401164,-0.07816325049990859,0.07824261558906187,-0.9867680595229167,0.0,,,,,,,,
8,Case2-loop,6,0.0,0.7857366839921652,0.7857366839921652,saddle x centre,0.3928239570976737,0.4255127010688291,-0.970293752666452,0.7590270942635697,-2.236965384947585,1.1375638648694983,,,,15.544943440090677,0.7857366839921652,-2.822291922365223e-16,-0.5719303261825103,0.2991279880258347,-0.13902569741839324,0.6506072722882497,0.0,0.1581506096714445,0.34027719014930613,,,,,,,,
9,Case1-arc,7,0.2782214359194132,0.9739164972615094,0.6956950613420962,saddle x centre,0.62599834033676,-0.7873493969645049,0.7854333366453113,-0.0562426087198696,0.5348436117550854,6.82784938144253,,,,31.95003037028154,0.6956950613420962,8.5203571775168e-17,0.14401169005817516,-0.013015951111958364,-0.009539741133834913,-0.9832901288842063,0.0,0.0651359155997769,-0.08887095374867095,,,,,,,,
10,Case2-loop,1,0.0,0.3392561222965081,0.3392561222965081,centre2 (spectrally stable),0.1785553245555559,0.2067486126936367,-1.066291025893813,-1.696170163761336,2.0066726525358765,0.9253794110977326,0.3552079540216607,2.605176490617951,,20.853166818459645,0.6785122445930162,0.54259219763378,0.0,0.3055987470389111,0.3884601521208091,-4.2537065072598083e-16,0.5021036483125715,-0.35947302680448956,0.2827947885670718,-0.7097397964137472,0.0,-0.5570876382685943,-0.271819918432058,-3.6676065325436776e-16,-0.2521052209718769,0.09655259708858537,-0.1978819602001464
11,Case2-loop,8,0.3749678951957793,1.0,0.6250321048042207,saddle x centre,0.6964593741605952,0.4894817033047933,-0.6839716983069648,-2.0981296580072453,0.1827697716226231,1.2717781324906339,,,,10.946512186452512,0.6250321048042207,-0.2538732433026516,-0.054411184612698185,-2.5166654574647766e-16,-0.5609308932988614,0.06919895475334047,-0.32287043925678605,0.7133796439359289,0.0,,,,,,,,
12,Case2-loop,7,0.0,0.3035446287191614,0.3035446287191614,centre2 (spectrally stable),0.1606997668490507,0.1873538382609706,-1.071173930517496,2.021028991244977,1.703776935781165,0.9130142356508688,0.4091262230308572,2.2316199359873523,,21.271912398664103,0.6070892574383228,0.30260845719627283,0.3871167422385302,-0.5513124853223097,0.0,-0.353443096522566,0.2762858292485434,1.8764882651387862e-16,-0.5033561473913295,0.5202421552799612,0.2982264787432859,-0.7050000229523783,0.0,-0.12201227285603242,0.21284470805112343,-3.81764844744427e-16,-0.2884339966271742
13,Case1-arc,3,0.0,0.5738317378668912,0.5738317378668912,saddle x centre,0.2956102757154697,-1.0474088444377567,1.0624767030448332,-0.5065095516656887,0.949191978034292,3.4506287692987496,,,,11.859259258104686,0.5738317378668912,0.04827558509190988,0.03651795218573652,-1.1055179029857487e-16,0.2716877103641693,-0.12600989640797872,0.166581122772874,-0.9374934296475087,0.0,,,,,,,,
14,Case1-arc,5,0.6433872661106116,0.8348051582853696,0.19141789217475802,centre2 (spectrally stable),0.7477731482663338,-0.6771471593681628,0.7012651755161944,2.7844390965878443,0.2477597676823909,0.925387221902072,0.40587107914470655,2.280002861628238,,24.032552828174936,0.38283578434951604,0.04611375682388348,0.3233036295039221,-0.6572992214067463,0.0,-0.2991810475374915,0.04267308131872191,-4.0211180777993036e-16,-0.6082563004559828,-0.07673650195804634,-0.23596450605078936,0.8927482057030273,0.0,0.09577116871068161,-0.031145126859501843,-1.3744522528922965e-15,0.3623406776531872
15,Case2-loop,11,0.7678813464260398,1.0,0.23211865357396022,saddle x centre,0.8928684123431692,0.3573169265833297,-0.5082735857358496,-0.4868891081452369,0.4335678410135431,4.703594884205081,,,,24.894496073390407,0.23211865357396022,0.03666311627226484,-0.13446650754307496,-2.3909089280363575e-17,0.15433746319676847,0.632475976976532,0.1724484461372413,-0.7259409023335114,0.0,,,,,,,,
16,Case2-loop,9,0.3749678951957793,0.3749678951957793,0.0,centre2 (spectrally stable),0.3749678951957793,0.4087665844711032,-0.9812284768625472,-2.0357074669155573,-1.0748784151105233,0.9000231084443331,0.32212201743585395,2.794044056996383,,15.651588903066429,0.0,0.2472964175086565,0.34694592729909973,-0.6090537717083456,0.0,-0.3122593519498375,0.2225724903932879,3.8300200887243757e-16,-0.5481624688226909,0.42958788789298546,0.21570625906509025,-0.8215333126192392,0.0,-0.06948373534358716,0.13837971711409608,-2.3667062069535305e-15,-0.2646339680516697
17,Case2-loop,10,0.3928239570976737,0.3928239570976737,0.0,centre2 (spectrally stable),0.3928239570976737,0.4255127010688291,-0.970293752666452,-1.8383882035018733,-1.3136730741344775,0.7959444781371017,0.5326849059670951,1.4942125621000206,3:2,15.135207158405395,0.0,-0.32919709405758746,-0.36978702713965445,0.6058538686706335,0.0,0.29432994233854326,-0.26202260923391535,-2.444174607605814e-15,0.4822260413263922,-0.43563267695948593,-0.3274942987636388,0.6942172393445885,0.0,0.17445126974166708,-0.23205495156235834,1.867857104648998e-15,0.36979904486100884
