case,index,x,y,grad_residual,hessian_det,eig1,eig2,eig3,eig4,max_real_part,stable,omega,jacobi_CJ_2omega,jacobi_alt_negomega
Case 1,1,-3.460334648432446,-1.7238749093909564,0.0,-0.06899906868435646,-2.775557562e-17+1.015180021j,-2.775557562e-17-1.015180021j,0.2587489239+0j,-0.2587489239+0j,0.2587489238580932,False,22.02636958205496,44.05273916410992,-22.02636958205496
Case 1,2,-0.7996495260903242,-0.015247095405945547,1.2657684170205451e-14,-449269.2163131487,-30.83600179+0j,30.83600179+0j,-7.105427358e-15+21.73678295j,-7.105427358e-15-21.73678295j,30.836001794049533,False,79.76053365849397,159.52106731698794,-79.76053365849397
Case 1,3,-0.5376648597759536,0.613002175392706,3.4867543482591024e-14,-629184.7105415915,-33.72933225+0j,33.72933225+0j,4.218847494e-15+23.51696847j,4.218847494e-15-23.51696847j,33.72933225146702,False,69.82603391327419,139.65206782654838,-69.82603391327419
Case 1,4,-0.007364058768040019,0.7685963435758728,4.298276266321274e-14,-660962.8284755781,5.329070518e-15+23.90101313j,5.329070518e-15-23.90101313j,34.01513568+0j,-34.01513568+0j,34.01513567566247,False,70.34291142848343,140.68582285696687,-70.34291142848343
Case 1,5,2.6710128167618628,2.6220809812868997,0.0,0.08260425810382355,2.02615702e-15+0.9632126237j,2.02615702e-15-0.9632126237j,-1.687452261e-15+0.2983864186j,-1.687452261e-15-0.2983864186j,2.0261570199409107e-15,True,21.337955031736392,42.675910063472784,-21.337955031736392
Case 2,1,-2.101513875440872,0.03277573818485039,9.461608670832866e-16,-0.9340110900277797,-0.8291007348+0j,-1.165734176e-15+1.165651472j,-1.165734176e-15-1.165651472j,0.8291007348+0j,0.8291007348120628,False,6.030725324601043,12.061450649202087,-6.030725324601043
Case 2,2,-1.3611578036923093,1.4681296531311687,2.220446049250313e-16,0.6337534453425653,0.4420368824+0.7750417569j,0.4420368824-0.7750417569j,-0.4420368824+0.7750417569j,-0.4420368824-0.7750417569j,0.4420368823913642,False,5.895390930928368,11.790781861856736,-5.895390930928368
Case 2,3,-1.0395383401892881,-1.6611706991587047,2.220446049250313e-16,0.6261434300064523,-0.4150374719+0.7867885041j,-0.4150374719-0.7867885041j,0.4150374719+0.7867885041j,0.4150374719-0.7867885041j,0.41503747189118045,False,5.812599154639713,11.625198309279426,-5.812599154639713
Case 2,4,-0.6805021935358384,-0.019608211825254917,6.328279799848439e-15,-3483.012975767225,-9.132164165+0j,9.132164165+0j,6.661338148e-16+6.46254881j,6.661338148e-16-6.46254881j,9.132164164651876,False,11.25772841397454,22.51545682794908,-11.25772841397454
Case 2,5,-0.24286579358004287,2.066120769514681,2.7755575615628914e-17,-0.7811780788811906,-0.7737908653+0j,8.049116929e-16+1.142224379j,8.049116929e-16-1.142224379j,0.7737908653+0j,0.7737908652713822,False,5.962108326182257,11.924216652364514,-5.962108326182257
Case 2,6,-0.011422891416299413,0.5492092823177124,1.1168440202394182e-15,-3976.167428613447,1.415534356e-15+6.68935899j,1.415534356e-15-6.68935899j,9.426442622+0j,-9.426442622+0j,9.42644262206994,False,11.879985026582816,23.75997005316563,-11.879985026582816
Case 2,7,0.34815616408094174,-0.6279357830616632,1.159106867033638e-15,-5549.304405518743,-10.21632202+0j,10.21632202+0j,-1.33226763e-15+7.291631304j,-1.33226763e-15-7.291631304j,10.216322021351672,False,11.772024749195143,23.544049498390287,-11.772024749195143
Case 2,8,0.9657149172733062,-1.8887868084621209,4.577566798522237e-16,-1.1956773759943915,-0.9031341575+0j,-2.775557562e-16+1.210750725j,-2.775557562e-16-1.210750725j,0.9031341575+0j,0.9031341574769544,False,6.044050679063849,12.088101358127698,-6.044050679063849
Case 2,9,1.7790350055887052,0.5787171371567665,2.220446049250313e-16,0.6822013742245326,-0.4089548098+0.8116099983j,-0.4089548098-0.8116099983j,0.4089548098+0.8116099983j,0.4089548098-0.8116099983j,0.4089548098484923,False,5.558568676830159,11.117137353660318,-5.558568676830159
Case 3,1,-1.3384108325400361,1.8016569272913414,0.0,-3.040986492385342,-1.322541517+0j,1.322541517+0j,-2.220446049e-16+1.318554033j,-2.220446049e-16-1.318554033j,1.3225415167470078,False,5.592089601624856,11.184179203249712,-5.592089601624856
Case 3,2,-0.8564003227991416,0.14391776308387946,2.020064446043164e-15,-812.6455281092984,6.483255695+0j,-6.483255695+0j,1.831867991e-15+4.39700971j,1.831867991e-15-4.39700971j,6.483255694797945,False,5.951615805399281,11.903231610798562,-5.951615805399281
Case 3,3,-0.566746784614841,0.7983703763581376,1.2008898127460164e-15,-824.180156136804,-6.38498381+0j,6.38498381+0j,-1.110223025e-16+4.496258548j,-1.110223025e-16-4.496258548j,6.3849838096097615,False,7.808505688667926,15.617011377335851,-7.808505688667926
Case 3,4,-0.07178124884889986,1.1825033927771031,2.210013198821679e-15,-516.1878653387175,5.794013639+0j,8.326672685e-16+3.92124865j,8.326672685e-16-3.92124865j,-5.794013639+0j,5.794013638846998,False,7.084771789325267,14.169543578650535,-7.084771789325267
Case 3,5,0.3029155569460233,-1.259951870165479,2.2887833992611187e-16,0.7514774797327141,0.3408759708+0.8664188248j,0.3408759708-0.8664188248j,-0.3408759708+0.8664188248j,-0.3408759708-0.8664188248j,0.3408759708481224,False,3.2527376925692457,6.505475385138491,-3.2527376925692457
Case 4,1,-0.6815777991464479,0.14200366872758216,2.278663452567752e-15,-2332.646979006119,8.207330543+0j,-8.207330543+0j,1.554312234e-15+5.88467638j,1.554312234e-15-5.88467638j,8.207330542533692,False,10.030840614807843,20.061681229615687,-10.030840614807843
Case 4,2,0.0019422686960453952,1.1717987621442474,1.1141497227266877e-15,-1741.8048076070988,-7.63367389+0j,-9.992007222e-16+5.46721483j,-9.992007222e-16-5.46721483j,7.63367389+0j,7.633673889525896,False,9.787711632548113,19.575423265096227,-9.787711632548113
Case 4,3,0.01572051282444721,2.3654827866922457,0.0,-3.3788733747227324,1.320448062+0j,-5.551115123e-17+1.392081413j,-5.551115123e-17-1.392081413j,-1.320448062+0j,1.3204480616985008,False,6.613638683077865,13.22727736615573,-6.613638683077865
Case 4,4,0.050590029659861986,-1.5971908313409902,2.514331927660129e-16,0.9505173366322353,0.441986361+0.8829455494j,0.441986361-0.8829455494j,-0.441986361+0.8829455494j,-0.441986361-0.8829455494j,0.4419863610212693,False,4.6834314125800915,9.366862825160183,-4.6834314125800915
Case 4,5,0.7119621483541618,0.23319929341618417,3.774758283725532e-15,-2221.8050718844042,-8.110171249+0j,8.110171249+0j,2.220446049e-16+5.811964492j,2.220446049e-16-5.811964492j,8.110171249432199,False,10.06809245988258,20.13618491976516,-10.06809245988258
